12/11/2016 18:47:24 Usuario{id=null, login='momo', senha='momo'} criado
12/11/2016 18:52:38 Usuario{id=null, login='momo', senha='momo'} criado
12/11/2016 18:57:21 Usuario{id=null, login='eric', senha='eric'} criado
12/11/2016 18:57:43 Usuario{id=10, login='ericmo', senha='eric'} atualizado
12/11/2016 19:01:53 Usuario{id=10, login='ericmo', senha='eric'} deletado
13/11/2016 15:05:42 SecretariaAcademica{id=null, nome='Secretaria', login='secretaria'} criado
13/11/2016 15:45:33 Usuario{id=null, login='vinicius', senha='123'} criado
13/11/2016 16:04:26 Usuario{id=1, login='vinicius', senha='123'} deletado
13/11/2016 16:10:11 Usuario{id=null, login='vinicius', senha='123'} criado
13/11/2016 16:10:26 Usuario{id=2, login='vinicius', senha='123'} deletado
13/11/2016 16:14:49 Usuario{id=null, login='vinicius', senha='123'} criado
